"_id","kata","tgl_dibuat","tgl_dirubah"
"755","yaitu","2020-04-01 20:22:22",NULL
"756","yakin","2020-04-01 20:22:22",NULL
"757","yakni","2020-04-01 20:22:22",NULL
"758","yang","2020-04-01 20:22:22",NULL
"759","www","2020-04-02 23:03:26",NULL
"760","http","2020-04-02 23:03:34",NULL
"761","https","2020-04-02 23:03:54",NULL
"762","selamat","2020-04-02 23:11:58",NULL
"763","siang","2020-04-02 23:12:03",NULL
"764","sore","2020-04-02 23:12:07",NULL
"765","pagi","2020-04-02 23:12:10",NULL
"766","malam","2020-04-02 23:12:15",NULL
"767","petang","2020-04-02 23:12:20",NULL
"768","assalamualaikum","2020-04-02 23:13:56",NULL
"769","nya","2020-05-12 22:07:49",NULL
"770","kakak","2020-05-12 22:08:34",NULL
"771","nama","2020-05-14 05:32:53",NULL
"772","yth","2020-05-15 17:26:18",NULL
"773","terimakasih","2020-05-15 20:23:09",NULL
"774","salam","2020-05-15 20:23:14",NULL
"775","mohon","2020-05-17 03:16:24",NULL
"776","terima","2020-06-01 01:00:52",NULL
"777","kasih","2020-06-01 01:01:00",NULL
"778","e","2020-06-01 01:02:09",NULL
"779","m","2020-06-01 01:02:12",NULL
"780","a","2020-06-01 01:02:43",NULL
"781","b","2020-06-01 01:02:46",NULL
"782","c","2020-06-01 01:02:49",NULL
"783","d","2020-06-01 01:02:51",NULL
"784","f","2020-06-01 01:02:58",NULL
"785","g","2020-06-01 01:03:00",NULL
"786","h","2020-06-01 01:03:04",NULL
"787","i","2020-06-01 01:03:08",NULL
"788","j","2020-06-01 01:03:10",NULL
"789","k","2020-06-01 01:03:12",NULL
"790","l","2020-06-01 01:03:14",NULL
"791","n","2020-06-01 01:03:21",NULL
"792","o","2020-06-01 01:03:23",NULL
"793","p","2020-06-01 01:03:26",NULL
"794","q","2020-06-01 01:03:28",NULL
"795","r","2020-06-01 01:03:31",NULL
"796","s","2020-06-01 01:03:34",NULL
"797","t","2020-06-01 01:03:36",NULL
"798","u","2020-06-01 01:03:45",NULL
"799","v","2020-06-01 01:03:55",NULL
"800","w","2020-06-01 01:04:02",NULL
"801","x","2020-06-01 01:04:05",NULL
"802","y","2020-06-01 01:04:07",NULL
"803","z","2020-06-01 01:04:09",NULL
"805","test","2020-06-27 10:44:47",NULL
